,nCFR,rCFR,mrCFR,EmrCFR
7,0.0,,,
14,0.0,,,
21,0.0,0.0,,
28,0.0024937655860349127,0.023809523809523808,0.5485222652802277,0.05491308632584947
35,0.003032600454890068,0.013888888888888888,0.1977320928162281,0.38533045634789953
42,0.0036407766990291263,0.008645533141210375,0.01151918600506985,0.8252690291111637
49,0.004600345025876941,0.006944444444444444,0.2976438871748653,0.0327152266171088
56,0.005589714924538848,0.0065832784726793945,0.00036265335796570325,0.01775228114399097
63,0.005564830272676683,0.005952380952380952,0.04019509872103522,0.020631820485611633
70,0.00555247084952804,0.0056657223796034,0.8760560890073493,0.02000148035069405
