Dates,Infected,Dead,Recovered
0 days,4.0,0.0,0.0
1 days,0.0,0.0,0.0
2 days,2.0,0.0,0.0
3 days,2.0,0.0,0.0
4 days,0.0,0.0,0.0
5 days,1.0,0.0,0.0
6 days,1.0,0.0,0.0
7 days,3.0,0.0,0.0
8 days,0.0,0.0,0.0
9 days,0.0,0.0,0.0
10 days,0.0,0.0,0.0
11 days,0.0,0.0,0.0
12 days,0.0,0.0,0.0
13 days,0.0,0.0,0.0
14 days,0.0,0.0,0.0
15 days,0.0,0.0,0.0
16 days,0.0,0.0,5.0
17 days,0.0,0.0,3.0
18 days,0.0,0.0,0.0
19 days,3.0,0.0,1.0
20 days,0.0,0.0,0.0
21 days,1.0,0.0,4.0
22 days,0.0,0.0,0.0
23 days,1.0,0.0,0.0
24 days,1.0,0.0,0.0
25 days,0.0,0.0,0.0
26 days,0.0,0.0,0.0
27 days,0.0,0.0,0.0
28 days,0.0,0.0,0.0
29 days,0.0,0.0,0.0
30 days,0.0,0.0,0.0
31 days,0.0,0.0,0.0
32 days,0.0,0.0,0.0
33 days,0.0,0.0,0.0
34 days,0.0,0.0,0.0
35 days,1.0,0.0,1.0
36 days,0.0,0.0,0.0
37 days,0.0,0.0,2.0
38 days,2.0,0.0,0.0
39 days,3.0,0.0,0.0
40 days,3.0,0.0,0.0
41 days,7.0,0.0,0.0
42 days,17.0,0.0,0.0
43 days,17.0,0.0,0.0
44 days,14.0,0.0,0.0
45 days,3.0,0.0,0.0
46 days,22.0,0.0,0.0
47 days,21.0,0.0,0.0
48 days,48.0,0.0,1.0
49 days,37.0,0.0,0.0
50 days,12.0,0.0,0.0
51 days,24.0,0.0,0.0
52 days,28.0,1.0,0.0
53 days,190.0,0.0,0.0
54 days,23.0,0.0,0.0
55 days,28.0,0.0,1.0
56 days,8.0,0.0,0.0
57 days,14.0,0.0,0.0
58 days,32.0,1.0,2.0
59 days,44.0,0.0,0.0
60 days,31.0,1.0,0.0
61 days,96.0,0.0,0.0
62 days,46.0,0.0,9.0
63 days,45.0,0.0,0.0
64 days,62.0,0.0,0.0
65 days,7.0,0.0,0.0
66 days,51.0,1.0,11.0
