,region,alpha,beta,lambda,loss
0,Australia,0.07710778079827797,3.940289848164099,0.8203174229871381,0.9270111097596426
1,Austria,0.07575677401118598,0.12087092734247243,0.1442982560444284,1.0064402851417098
2,Belgium,0.208012844165488,2.668993722308757,1.1309149202187676,1.0458588412567842
3,Canada,0.13265829566103152,0.18635757554894664,31.080733843811185,1.2147718596403387
4,Chile,0.015740416089660706,0.11919973118831198,47.73103759141573,1.4892621470976943
5,Colombia,0.10285341714527987,3.8375580518216696,0.6283070850861329,0.6562279711860055
6,Czechia,0.26292113918836363,3.8370724339808646,0.7308182889693483,0.7797742520912031
7,Denmark,0.5030554398885065,5.327677559825722,0.7366500530170962,0.6443081293165835
8,Estonia,0.10019860676645478,9.517568592420336,1.7217779505234567,0.6793635139193069
9,Finland,0.058056955401332724,1.167677010912024,12.27681310917291,0.672762331305208
10,France,0.21809384819227545,0.350988440175567,12.850089398189837,1.3942037705551655
11,Germany,0.05082676782289232,1.1205974920632236,13.75817236522431,0.8947207277704509
12,Greece,0.3359659790094823,5.2939686323230415,0.7113340509872558,0.6739097607477573
13,Hungary,0.1575847803111682,0.5468808506558788,0.4407423132761546,0.8848296998276616
14,Iceland,0.0012360008342664488,4.711146281211783,1.0439883614129843,0.4657408714904129
15,Ireland,0.17119198184164977,6.652917918310931,1.535742475380131,0.9025453159047362
16,Israel,0.014703716825717476,8.274804847700482,15.198890645270444,0.7683681976849077
17,Italy,0.16268805412549783,0.5635677708624777,0.6545415247559029,0.9908061446134018
18,Japan,0.07198454744601347,0.7885630117795362,36.49118031907978,0.6204046979608793
19,Latvia,0.19671393209772742,9.14088586864104,1.3884280345036306,0.5161263032223244
20,Lithuania,0.0367479704570386,8.305276962833704,5.273688745675587,0.6177081275193689
21,Luxembourg,0.10322132612082638,8.687923629873234,2.7531437572606015,0.5306802223440034
22,Mexico,0.220876355435987,3.2415748258942685,0.5825941046209705,1.0383522521109934
23,Netherlands,0.15527802562327267,5.684833806063254,6.491514043418151,0.9686281813236545
24,New Zealand,0.09916289639350609,3.172430397334231,0.9460340869791252,0.6504753935166689
25,Norway,0.06076730885385319,0.18962549576832746,34.63991980066433,0.7631588366555375
26,Poland,0.12098409658336609,3.6336971446430137,0.5935462298030493,0.957579033711702
27,Sweden,0.16513936309501823,1.440068065702145,0.31973662713804535,0.956755619670861
28,Switzerland,0.09289262418749646,0.37426030614493017,17.958720960689693,0.8237291314838315
29,Turkey,0.027964131251535858,0.5570661052303251,2.1100362025049395,1.4097690594927663
30,US,0.09881160823135118,9.966953039369933,7.404139860766291,1.2053524877400192
31,United Kingdom,0.16655824051643645,3.0254172212723836,2.888851702403184,1.3307232759814007
